/----------------------------------------Detector: SHITOMASI  -----------------------------------------/
Processing time: 
     BRISK,    307.68,   307.457,   306.619,   310.897,   308.414,   307.078,   313.173,   313.789,   309.425,   308.117,
     BRIEF,   309.544,   308.285,   309.699,   305.795,   304.868,   307.219,   306.436,   306.885,   304.646,   312.091,
       ORB,   309.812,   308.382,   320.033,   309.172,   308.961,    311.82,   309.013,   312.257,   308.068,   314.565,
     FREAK,   348.246,   343.073,   346.296,   340.085,   341.558,   340.236,   342.394,   342.712,   338.905,   355.718,
     AKAZE,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
      SIFT,   336.816,   327.556,   331.211,   328.472,   331.544,   327.947,   337.414,   328.482,   328.586,   328.576,
number of detected keypoints: 
     BRISK,      2757,      2777,      2741,      2735,      2757,      2695,      2715,      2628,      2639,      2672,
     BRIEF,      2757,      2777,      2741,      2735,      2757,      2695,      2715,      2628,      2639,      2672,
       ORB,      2757,      2777,      2741,      2735,      2757,      2695,      2715,      2628,      2639,      2672,
     FREAK,      2757,      2777,      2741,      2735,      2757,      2695,      2715,      2628,      2639,      2672,
     AKAZE,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
      SIFT,      2757,      2777,      2741,      2735,      2757,      2695,      2715,      2628,      2639,      2672,
number of matched keypoints: 
     BRISK,         0,       136,       138,       132,       139,       136,       154,       136,       149,       155,
     BRIEF,         0,       136,       160,       129,       140,       147,       153,       157,       157,       145,
       ORB,         0,        92,       102,        85,        94,        82,       112,       112,       113,       118,
     FREAK,         0,       108,       119,       114,       114,       100,       129,       135,       126,       129,
     AKAZE,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
      SIFT,         0,       177,       187,       171,       177,       168,       190,       193,       173,       181,
/----------------------------------------Detector: ORB  -----------------------------------------/
Processing time: 
     BRISK,   7.08753,   7.15671,   6.96864,   6.73392,   6.87337,   6.96994,   7.00919,   6.94324,   7.10337,     6.999,
     BRIEF,   6.21074,   5.95113,   5.94513,   7.00958,   5.78511,   5.99555,   6.29763,   6.09607,   6.22242,   6.32462,
       ORB,   9.12524,   9.33225,   9.31922,   8.98521,   9.16276,   9.19507,   9.11827,   9.06364,   9.20692,   9.46119,
     FREAK,   41.9829,   41.9775,   41.3495,   41.0941,   41.5187,   40.9512,   41.0242,    41.407,   41.9464,    41.796,
     AKAZE,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
      SIFT,   32.7179,   32.2098,   34.6447,    34.724,   32.7702,   33.6151,   36.2135,   35.6669,   37.1223,   34.6786,
number of detected keypoints: 
     BRISK,       500,       500,       500,       500,       500,       500,       500,       500,       500,       500,
     BRIEF,       500,       500,       500,       500,       500,       500,       500,       500,       500,       500,
       ORB,       500,       500,       500,       500,       500,       500,       500,       500,       500,       500,
     FREAK,       500,       500,       500,       500,       500,       500,       500,       500,       500,       500,
     AKAZE,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
      SIFT,       500,       500,       500,       500,       500,       500,       500,       500,       500,       500,
number of matched keypoints: 
     BRISK,         0,        60,        65,        65,        76,        72,        82,        82,        72,        72,
     BRIEF,         0,        37,        38,        37,        53,        42,        60,        57,        61,        60,
       ORB,         0,        39,        57,        49,        54,        57,        67,        70,        62,        70,
     FREAK,         0,        38,        33,        37,        40,        33,        40,        41,        40,        43,
     AKAZE,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
      SIFT,         0,        66,        79,        78,        79,        82,        93,        94,        93,        92,
/----------------------------------------Detector: AKAZE  -----------------------------------------/
Processing time: 
     BRISK,   61.4964,   59.5257,    60.722,   59.8423,   57.8889,    56.777,   57.2706,   60.5488,   57.7312,   58.6275,
     BRIEF,   60.3328,   59.3212,   59.7996,   60.8318,   57.0542,   55.3231,   59.5931,   57.0173,   56.4369,   56.0388,
       ORB,   60.3452,   60.8591,   60.3741,   60.8211,   58.2261,   58.3955,   61.0539,   57.9698,   61.6934,   57.2841,
     FREAK,   94.0991,   96.7468,   95.8217,   95.6784,   92.4198,   91.7712,   94.9612,   95.8087,   92.5395,   91.4088,
     AKAZE,   109.004,   105.572,   105.497,   104.023,   104.458,   104.191,   106.631,   108.395,   104.601,   102.212,
      SIFT,   73.8274,    71.853,   71.3867,   70.3102,   71.4718,   72.0236,   71.6786,   71.7974,   74.0432,   72.4186,
number of detected keypoints: 
     BRISK,      1351,      1327,      1311,      1351,      1360,      1347,      1363,      1331,      1357,      1331,
     BRIEF,      1351,      1327,      1311,      1351,      1360,      1347,      1363,      1331,      1357,      1331,
       ORB,      1351,      1327,      1311,      1351,      1360,      1347,      1363,      1331,      1357,      1331,
     FREAK,      1351,      1327,      1311,      1351,      1360,      1347,      1363,      1331,      1357,      1331,
     AKAZE,      1351,      1327,      1311,      1351,      1360,      1347,      1363,      1331,      1357,      1331,
      SIFT,      1351,      1327,      1311,      1351,      1360,      1347,      1363,      1331,      1357,      1331,
number of matched keypoints: 
     BRISK,         0,       123,       111,       120,       117,       114,       119,       134,       138,       125,
     BRIEF,         0,       105,       116,       110,       107,       116,       128,       133,       134,       128,
       ORB,         0,       100,        95,        96,        83,        90,       117,       103,       112,       117,
     FREAK,         0,       100,       104,        94,        97,        97,       115,       126,       116,       113,
     AKAZE,         0,       126,       127,       124,       116,       120,       132,       137,       138,       141,
      SIFT,         0,       132,       134,       129,       136,       136,       147,       147,       153,       149,
/----------------------------------------Detector: SIFT  -----------------------------------------/
Processing time: 
     BRISK,   86.8915,   73.8221,   85.2626,   85.7661,   86.0198,   85.3087,   85.7809,   84.8439,    86.892,   85.8821,
     BRIEF,   87.7053,    84.367,   84.3481,   84.8813,   85.2211,   84.1926,    84.962,   85.0405,   85.3802,   86.0386,
       ORB,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
     FREAK,   122.068,   120.585,   119.756,   120.407,   120.208,    120.22,   120.592,    122.15,   119.379,   120.582,
     AKAZE,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
      SIFT,   144.879,   126.017,   128.171,   128.007,   131.043,   128.753,   128.108,   143.756,   129.234,   128.194,
number of detected keypoints: 
     BRISK,      1437,      1371,      1381,      1336,      1303,      1370,      1396,      1382,      1462,      1422,
     BRIEF,      1437,      1371,      1381,      1336,      1303,      1370,      1396,      1382,      1462,      1422,
       ORB,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
     FREAK,      1437,      1371,      1381,      1336,      1303,      1370,      1396,      1382,      1462,      1422,
     AKAZE,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
      SIFT,      1437,      1371,      1381,      1336,      1303,      1370,      1396,      1382,      1462,      1422,
number of matched keypoints: 
     BRISK,         0,        56,        61,        57,        61,        55,        53,        54,        63,        73,
     BRIEF,         0,        62,        70,        62,        66,        52,        58,        70,        70,        84,
       ORB,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
     FREAK,         0,        58,        61,        53,        64,        51,        51,        48,        53,        65,
     AKAZE,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,
      SIFT,         0,        81,        79,        84,        93,        90,        82,        82,       100,       101,
